RK,Name,Team,POS,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS,LNG,TD,FF,FR,FTD
1,Bobby Wagner,SEA,LB,17,96,87,183,3.5,24,11,3,0,0,0,0,0,1,0
2,Zaire Franklin,IND,LB,16,107,72,179,1.5,8,3,6,0,0,0,0,2,0,0
3,Alex Singleton,DEN,LB,17,106,71,177,2.0,21,6,4,0,0,0,0,0,2,0
4,Foyesade Oluokun,JAX,LB,17,111,62,173,2.5,13,8,6,1,24,24,1,1,2,0
5,Azeez Al-Shaair,TEN,LB,17,84,79,163,2.0,2,9,4,0,0,0,0,0,1,0
6,Roquan Smith,BAL,LB,16,84,74,158,1.5,12,5,8,1,30,30,0,1,0,0
7,T.J. Edwards,CHI,LB,17,91,64,155,2.5,4,8,7,3,4,2,0,1,2,0
8,C.J. Mosley,NYJ,LB,17,80,71,151,0.5,2,5,7,1,0,0,0,2,1,0
9,Bobby Okereke,NYG,LB,17,92,57,149,2.5,23,11,10,2,62,55,0,4,0,0
10,Robert Spillane,LV,LB,17,82,66,148,3.5,15,7,4,3,53,25,0,1,1,0
11,Ernest Jones IV,LAR,LB,15,74,71,145,4.5,20,14,6,0,0,0,0,0,0,0
12,Terrel Bernard,BUF,LB,17,84,59,143,6.5,32,10,5,3,2,2,0,0,3,0
13,Quincy Williams,NYJ,LB,17,95,44,139,2.0,10,15,10,1,11,11,0,2,1,0
14,Camryn Bynum,MIN,S,17,94,43,137,0.5,2,2,9,2,0,0,0,3,0,0
15,Logan Wilson,CIN,LB,17,78,57,135,1.0,0,5,9,4,42,26,0,3,0,0
16,Lavonte David,TB,LB,15,86,48,134,4.5,44,17,5,0,0,0,0,1,0,0
17,Patrick Queen,BAL,LB,17,84,49,133,3.5,35,9,6,1,21,21,0,1,1,0
18,Fred Warner,SF,LB,17,82,50,132,2.5,17,6,11,4,63,32,0,4,0,0
19,Jessie Bates III,ATL,S,17,89,43,132,0.0,0,3,11,6,95,92,1,3,0,0
20,Alex Anzalone,DET,LB,16,85,44,129,3.0,32,7,6,0,0,0,0,0,1,0
21,Devin Lloyd,JAX,LB,15,75,52,127,0.0,0,2,7,0,0,0,0,0,2,0
22,Frankie Luvu,CAR,LB,17,66,59,125,5.5,47,10,5,0,0,0,0,2,0,0
23,Derwin James Jr.,LAC,S,16,86,39,125,2.0,11,5,7,1,6,6,0,0,2,0
24,Julian Love,SEA,S,17,85,38,123,0.0,0,1,10,4,7,7,0,2,1,0
25,Kevin Byard III,TEN/PHI,S,16,80,42,122,0.0,0,0,3,1,0,0,0,0,1,0
26,Kaden Elliss,ATL,LB,17,82,40,122,4.0,36,11,3,0,0,0,0,0,0,0
27,Antoine Winfield Jr.,TB,S,17,76,46,122,6.0,48,6,12,3,28,28,0,6,4,0
28,Demario Davis,NO,LB,17,74,47,121,6.5,49,12,4,0,0,0,0,1,1,0
29,Cody Barton,WSH,LB,13,67,54,121,0.0,0,3,1,1,52,52,0,0,1,0
30,Dre Greenlaw,SF,LB,15,75,45,120,1.5,5,5,4,0,16,0,0,0,0,0
31,Germaine Pratt,CIN,LB,17,63,55,118,2.0,12,7,3,2,9,9,0,2,0,0
32,Quay Walker,GB,LB,14,59,59,118,2.5,17,7,3,1,37,37,1,0,0,0
33,Eric Kendricks,LAC,LB,15,79,38,117,3.5,20,7,6,0,0,0,0,1,0,0
34,Josh Metellus,MIN,S,17,78,38,116,2.5,17,7,5,1,43,43,0,4,1,0
35,Xavier McKinney,NYG,S,17,78,38,116,0.5,3,2,11,3,22,18,0,1,2,0
36,Kamren Curl,WSH,S,16,74,41,115,1.0,0,3,5,0,0,0,0,1,1,0
37,Ja'Whaun Bentley,NE,LB,16,55,59,114,4.5,14,5,3,0,0,0,0,1,0,0
38,David Long Jr.,MIA,LB,17,64,49,113,1.0,9,9,1,0,0,0,0,1,0,0
39,Tremaine Edmunds,CHI,LB,15,69,44,113,0.0,0,5,7,4,61,45,1,1,1,0
40,Reed Blankenship,PHI,S,15,79,34,113,0.0,0,2,11,3,17,17,0,0,1,0
41,Jordyn Brooks,SEA,LB,16,62,49,111,4.5,19,8,4,1,12,12,1,1,1,0
42,Jahlani Tavai,NE,LB,17,65,45,110,1.0,9,5,5,2,2,2,0,2,0,0
43,Nate Landman,ATL,LB,16,66,44,110,2.0,18,7,3,1,25,25,0,3,0,0
44,Dax Hill,CIN,S,17,72,38,110,1.5,12,6,11,2,20,20,0,0,0,0
45,Damone Clark,DAL,LB,17,70,39,109,0.0,0,4,3,0,0,0,0,0,1,0
46,Kyle Dugger,NE,S,17,71,38,109,1.5,10,6,7,2,35,20,0,1,0,0
47,Josey Jewell,DEN,LB,16,60,48,108,3.0,16,2,3,0,0,0,0,2,3,0
48,Jordan Hicks,MIN,LB,13,61,46,107,1.0,8,4,5,1,9,9,0,1,2,1
49,Kenneth Murray Jr.,LAC,LB,15,79,28,107,3.0,15,7,4,1,0,0,0,0,0,0
50,Blake Cashman,HOU,LB,14,56,50,106,2.0,16,9,5,1,0,0,0,0,1,0
51,Divine Deablo,LV,LB,15,65,41,106,1.0,7,4,2,0,0,0,0,0,1,0
52,Jaquan Brisker,CHI,S,15,66,39,105,1.0,8,3,9,1,0,0,0,2,1,0
53,Derrick Brown,CAR,DE,17,57,46,103,2.0,22,7,6,1,2,2,0,0,0,0
54,Richie Grant,ATL,S,17,66,37,103,3.0,19,3,6,1,4,4,0,2,0,0
55,E.J. Speed,IND,LB,16,78,24,102,1.0,9,12,4,0,0,0,0,3,0,0
56,Ivan Pace Jr.,MIN,LB,17,63,39,102,2.5,13,2,2,1,0,0,0,1,1,0
57,Jordan Poyer,BUF,S,16,67,34,101,1.0,4,2,4,0,0,0,0,1,0,0
58,Rayshawn Jenkins,JAX,S,17,66,35,101,1.0,8,7,9,2,42,24,0,0,0,0
59,Elandon Roberts,PIT,LB,16,68,33,101,2.5,20,10,2,0,0,0,0,0,0,0
60,Jeremiah Owusu-Koramoah,CLE,LB,16,72,29,101,3.5,35,20,6,2,8,8,0,1,0,0
61,Micah McFadden,NYG,LB,16,63,38,101,1.0,7,12,5,1,5,5,0,0,4,0
62,Christian Harris,HOU,LB,16,65,36,101,2.0,8,7,7,0,0,0,0,1,0,0
63,Taron Johnson,BUF,CB,17,72,26,98,1.0,1,3,8,0,0,0,0,3,1,0
64,Jordan Whitehead,NYJ,S,17,65,32,97,0.5,7,3,9,4,6,6,0,0,0,0
65,Quandre Diggs,SEA,S,17,63,32,95,0.0,0,1,5,1,21,21,0,0,0,0
66,Justin Reid,KC,S,16,74,21,95,3.0,16,5,7,1,11,11,0,1,0,0
67,Nicholas Morrow,PHI,LB,15,66,29,95,3.0,20,12,5,0,0,0,0,1,2,0
68,Jack Gibbens,TEN,LB,14,55,40,95,1.0,9,3,3,0,0,0,0,0,0,0
69,Jack Campbell,DET,LB,17,52,43,95,2.0,14,5,1,0,0,0,0,0,0,0
70,Jordan Fuller,LAR,S,17,61,33,94,0.0,0,1,8,3,39,21,0,3,0,0
71,Markquese Bell,DAL,S,17,60,34,94,0.0,0,3,4,0,0,0,0,2,0,0
72,Harrison Smith,MIN,S,17,60,33,93,3.0,35,2,3,0,0,0,0,3,0,0
73,Kenny Moore II,IND,CB,16,68,25,93,1.5,13,8,6,3,115,66,2,0,0,0
74,Pete Werner,NO,LB,16,60,33,93,0.5,4,4,1,1,0,0,0,0,2,0
75,Harrison Phillips,MIN,DT,17,44,48,92,3.0,7,2,2,0,0,0,0,0,0,0
76,Maxx Crosby,LV,DE,17,55,35,90,14.5,100,23,2,0,0,0,0,2,1,0
77,Kyzir White,ARI,LB,11,53,37,90,2.0,10,9,3,1,0,0,0,0,0,0
78,K'Von Wallace,ARI/TEN,S,17,62,27,89,0.0,0,1,6,1,2,2,0,0,0,0
79,Jamin Davis,WSH,LB,13,50,39,89,3.0,8,8,4,1,0,0,0,2,0,0
80,Shaquille Leonard,IND/PHI,LB,14,46,42,88,1.0,2,4,0,0,0,0,0,0,0,0
81,Donovan Wilson,DAL,S,15,55,33,88,0.0,0,2,3,2,0,0,0,1,2,0
82,Julian Blackmon,IND,S,15,65,23,88,0.0,0,5,8,4,39,25,0,0,2,0
83,Budda Baker,ARI,S,12,58,29,87,0.0,0,5,0,0,0,0,0,0,0,0
84,Isaiah McDuffie,GB,LB,16,56,30,86,0.5,5,5,1,0,0,0,0,0,0,0
