RK,Name,Team,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,Tua Tagovailoa,MIA,QB,17,388,560,69.3,4624,8.3,272.0,78,29,14,29,171,60.8,101.1
2,Jared Goff,DET,QB,17,407,605,67.3,4575,7.6,269.1,70,30,12,30,197,60.3,97.9
3,Dak Prescott,DAL,QB,17,410,590,69.5,4516,7.7,265.6,92,36,9,39,255,72.7,105.9
4,Josh Allen,BUF,QB,17,385,579,66.5,4306,7.4,253.3,81,29,18,24,152,69.6,92.2
5,Brock Purdy,SF,QB,16,308,444,69.4,4280,9.6,267.5,76,31,11,28,153,72.8,113.0
6,Patrick Mahomes,KC,QB,16,401,597,67.2,4183,7.0,261.4,67,27,14,27,186,63.1,92.6
7,Jordan Love,GB,QB,17,372,579,64.2,4159,7.2,244.6,77,32,11,30,242,62.1,96.1
8,C.J. Stroud,HOU,QB,15,319,499,63.9,4108,8.2,273.9,75,23,5,38,331,57.5,100.8
9,Baker Mayfield,TB,QB,17,364,566,64.3,4044,7.1,237.9,75,28,10,40,232,54.3,94.6
10,Trevor Lawrence,JAX,QB,16,370,564,65.6,4016,7.1,251.0,65,21,14,35,224,56.1,88.5
11,Matthew Stafford,LAR,QB,15,326,521,62.6,3965,7.6,264.3,80,24,11,30,205,63.5,92.5
12,Sam Howell,WSH,QB,17,388,612,63.4,3946,6.4,232.1,51,21,21,65,449,42.4,78.9
13,Derek Carr,NO,QB,17,375,548,68.4,3878,7.1,228.1,58,25,8,31,218,56.5,97.7
14,Jalen Hurts,PHI,QB,17,352,538,65.4,3858,7.2,226.9,63,23,15,36,222,60.1,89.1
15,Lamar Jackson,BAL,QB,16,307,457,67.2,3678,8.0,229.9,80,24,7,37,218,64.7,102.7
16,Geno Smith,SEA,QB,15,323,499,64.7,3624,7.3,241.6,73,20,9,31,231,59.5,92.1
17,Gardner Minshew,IND,QB,17,305,490,62.2,3305,6.7,194.4,75,15,9,34,187,59.6,84.6
18,Justin Herbert,LAC,QB,13,297,456,65.1,3134,6.9,241.1,60,20,7,29,233,64.1,93.2
19,Russell Wilson,DEN,QB,15,297,447,66.4,3070,6.9,204.7,60,26,8,45,258,50.7,98.0
