RK,Name,Team,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Christian McCaffrey,SF,RB,16,272,1459,5.4,72,9,14,91.2,2,2,83
2,Derrick Henry,TEN,RB,17,280,1167,4.2,69,5,12,68.6,0,0,63
3,Kyren Williams,LAR,RB,12,228,1144,5.0,56,7,12,95.3,2,1,62
4,James Cook,BUF,RB,17,237,1122,4.7,42,6,2,66.0,3,1,53
5,D'Andre Swift,PHI,RB,16,229,1049,4.6,43,6,5,65.6,2,0,50
6,James Conner,ARI,RB,13,208,1040,5.0,44,11,7,80.0,0,0,57
7,Najee Harris,PIT,RB,17,255,1035,4.1,25,8,8,60.9,2,1,51
8,Joe Mixon,CIN,RB,17,257,1034,4.0,44,3,9,60.8,0,0,59
9,David Montgomery,DET,RB,14,219,1015,4.6,75,4,13,72.5,2,1,59
10,Raheem Mostert,MIA,RB,15,209,1012,4.8,49,7,18,67.5,2,1,59
11,Travis Etienne Jr.,JAX,RB,17,267,1008,3.8,62,6,11,59.3,0,0,53
12,Tony Pollard,DAL,RB,17,252,1005,4.0,31,6,6,59.1,1,1,56
13,Breece Hall,NYJ,RB,17,223,994,4.5,83,7,5,58.5,2,0,40
14,Rachaad White,TB,RB,17,272,990,3.6,38,3,6,58.2,2,1,46
15,Bijan Robinson,ATL,RB,17,214,976,4.6,38,7,4,57.4,4,3,50
16,Saquon Barkley,NYG,RB,14,247,962,3.9,36,7,6,68.7,2,2,51
17,Jahmyr Gibbs,DET,RB,15,182,945,5.2,36,10,10,63.0,2,1,42
18,Isiah Pacheco,KC,RB,14,205,935,4.6,48,6,7,66.8,1,1,53
19,Kenneth Walker III,SEA,RB,15,219,905,4.1,45,7,8,60.3,1,0,46
20,Chuba Hubbard,CAR,RB,17,238,902,3.8,22,4,5,53.1,0,0,59
21,Devin Singletary,HOU,RB,17,216,898,4.2,24,3,4,52.8,1,0,40
22,Lamar Jackson,BAL,QB,16,148,821,5.5,30,4,5,51.3,5,2,48
23,Jerome Ford,CLE,RB,17,204,813,4.0,69,5,4,47.8,1,1,33
24,Gus Edwards,BAL,RB,17,198,810,4.1,42,6,13,47.6,2,2,49
25,Josh Jacobs,LV,RB,13,233,805,3.5,63,3,6,61.9,2,1,34
26,De'Von Achane,MIA,RB,11,103,800,7.8,76,8,8,72.7,1,1,30
27,Zack Moss,IND,RB,14,183,794,4.3,56,6,5,56.7,0,0,43
28,Jaylen Warren,PIT,RB,17,149,784,5.3,74,6,4,46.1,3,1,36
29,Javonte Williams,DEN,RB,16,217,774,3.6,21,2,3,48.4,0,0,41
30,Jonathan Taylor,IND,RB,10,169,741,4.4,49,4,7,74.1,1,0,42
31,Brian Robinson Jr.,WSH,RB,15,178,733,4.1,29,4,5,48.9,3,2,47
32,Alexander Mattison,MIN,RB,16,180,700,3.9,21,1,0,43.8,2,2,28
33,Alvin Kamara,NO,RB,13,180,694,3.9,17,0,5,53.4,0,0,42
34,Tyler Allgeier,ATL,RB,17,186,683,3.7,31,2,4,40.2,0,0,39
35,Justin Fields,CHI,QB,13,124,657,5.3,39,4,4,50.5,3,1,43
36,Aaron Jones,GB,RB,11,142,656,4.6,39,3,2,59.6,1,1,34
37,Ezekiel Elliott,NE,RB,17,184,642,3.5,17,0,3,37.8,1,0,33
38,Austin Ekeler,LAC,RB,14,179,628,3.5,55,3,5,44.9,3,2,34
39,Rhamondre Stevenson,NE,RB,12,156,619,4.0,64,1,4,51.6,1,1,36
40,AJ Dillon,GB,RB,15,178,613,3.4,40,1,2,40.9,0,0,32
41,Khalil Herbert,CHI,RB,12,132,611,4.6,38,5,2,50.9,0,0,25
42,Jalen Hurts,PHI,QB,17,157,605,3.9,24,2,15,35.6,6,4,68
43,Josh Allen,BUF,QB,17,111,524,4.7,23,1,15,30.8,5,3,57
44,Zach Charbonnet,SEA,RB,16,108,462,4.3,23,4,1,28.9,0,0,32
45,Ty Chandler,MIN,RB,17,102,461,4.5,31,3,3,27.1,0,0,20
46,Tyjae Spears,TEN,RB,17,100,453,4.5,23,3,2,26.6,0,0,24
47,Zamir White,LV,RB,17,104,451,4.3,43,2,1,26.5,1,1,19
48,Miles Sanders,CAR,RB,16,129,432,3.3,48,1,1,27.0,2,2,24
49,D'Onta Foreman,CHI,RB,9,109,425,3.9,22,1,4,47.2,1,0,24
50,Joshua Dobbs,ARI/MIN,QB,13,77,421,5.5,44,6,6,32.4,7,2,31
51,Dameon Pierce,HOU,RB,14,145,416,2.9,22,1,2,29.7,0,0,14
52,Kareem Hunt,CLE,RB,15,135,411,3.0,16,0,9,27.4,0,0,39
53,Jaleel McLaughlin,DEN,RB,17,76,410,5.4,38,4,1,24.1,0,0,16
54,Joshua Kelley,LAC,RB,17,107,405,3.8,49,2,2,23.8,1,1,21
55,Taysom Hill,NO,QB,16,81,401,5.0,27,3,4,25.1,1,1,26
56,Keaton Mitchell,BAL,RB,8,47,396,8.4,60,7,2,49.5,0,0,19
57,Patrick Mahomes,KC,QB,16,75,389,5.2,25,2,0,24.3,1,0,27
58,Justice Hill,BAL,RB,16,84,387,4.6,41,2,3,24.2,0,0,18
59,Kenneth Gainwell,PHI,RB,16,84,364,4.3,32,3,2,22.8,3,1,19
60,Rico Dowdle,DAL,RB,16,89,361,4.1,21,2,2,22.6,0,0,17
61,Roschon Johnson,CHI,RB,15,81,352,4.3,29,2,2,23.5,1,0,16
62,Russell Wilson,DEN,QB,15,80,341,4.3,21,2,3,22.7,3,1,38
63,Trevor Lawrence,JAX,QB,16,70,339,4.8,26,3,4,21.2,5,2,23
64,Royce Freeman,LAR,RB,14,77,319,4.1,23,1,2,22.8,0,0,17
65,Jamaal Williams,NO,RB,13,106,306,2.9,17,0,1,23.5,1,0,19
66,Latavius Murray,BUF,RB,16,79,300,3.8,29,2,4,18.8,0,0,27
67,Pierre Strong Jr.,CLE,RB,17,63,291,4.6,40,2,1,17.1,1,1,9
68,Emari Demercado,ARI,RB,14,58,284,4.9,49,1,2,20.3,0,0,12
69,Elijah Mitchell,SF,RB,11,75,281,3.7,18,0,2,25.5,0,0,14
70,Antonio Gibson,WSH,RB,16,65,265,4.1,16,0,1,16.6,1,1,13
71,Sam Howell,WSH,QB,17,48,263,5.5,24,3,5,15.5,2,1,19
72,Bryce Young,CAR,QB,16,39,253,6.5,26,3,0,15.8,2,0,18
73,Jordan Love,GB,QB,17,50,247,4.9,37,4,4,14.5,5,2,16
74,Chris Rodriguez Jr.,WSH,RB,13,51,247,4.8,16,0,2,19.0,1,1,14
75,Kyler Murray,ARI,QB,8,44,244,5.5,33,2,3,30.5,5,0,15
76,Dak Prescott,DAL,QB,17,55,242,4.4,22,1,2,14.2,2,1,21
77,Samaje Perine,DEN,RB,17,53,238,4.5,24,1,1,14.0,1,1,14
78,Justin Herbert,LAC,QB,13,52,228,4.4,35,2,3,17.5,1,0,16
79,Deebo Samuel Sr.,SF,WR,15,37,225,6.1,23,1,5,15.0,0,0,13
80,Clyde Edwards-Helaire,KC,RB,15,70,223,3.2,20,1,1,14.9,0,0,12
81,Dalvin Cook,NYJ,RB,15,67,214,3.2,14,0,0,14.3,2,2,10
82,Zach Wilson,NYJ,QB,12,36,211,5.9,20,2,0,17.6,4,3,7
83,Daniel Jones,NYG,QB,6,40,206,5.2,17,0,1,34.3,1,0,15
84,Jordan Mason,SF,RB,17,40,206,5.2,26,1,3,12.1,0,0,13
85,Tyrod Taylor,NYG,QB,11,38,197,5.2,31,2,0,17.9,3,0,10
86,Tommy DeVito,NYG,QB,9,36,195,5.4,26,1,1,21.7,2,1,7
87,Desmond Ridder,ATL,QB,15,53,193,3.6,23,1,5,12.9,6,3,18
88,Jeff Wilson Jr.,MIA,RB,10,41,188,4.6,15,0,0,18.8,0,0,8
89,Michael Carter,ARI/NYJ,RB,15,30,187,6.2,21,1,0,12.5,0,0,9
90,Cordarrelle Patterson,ATL,RB,14,50,181,3.6,18,0,0,12.9,1,0,9
91,Chase Brown,CIN,RB,12,44,179,4.1,31,2,0,14.9,1,0,6
92,Craig Reynolds,DET,RB,17,41,179,4.4,19,0,1,10.5,1,1,11
93,Rondale Moore,ARI,WR,17,28,178,6.4,45,2,1,10.5,0,0,5
94,Chase Edmonds,TB,RB,13,49,176,3.6,21,1,0,13.5,0,0,8
95,Nick Chubb,CLE,RB,2,28,170,6.1,20,1,0,85.0,0,0,8
96,Cam Akers,LAR/MIN,RB,7,60,167,2.8,19,0,2,23.9,0,0,12
97,C.J. Stroud,HOU,QB,15,39,167,4.3,16,0,3,11.1,2,1,18
98,Baker Mayfield,TB,QB,17,62,163,2.6,31,1,1,9.6,3,0,16
