RK,Name,Team,POS,GP,FGM,FGA,FG%,LNG,1-19,20-29,30-39,40-49,50+,XPM,XPA,XP%
1,Brandon Aubrey,DAL,PK,17,36,38,94.7,60,0-0,9-9,13-15,4-4,10-10,49,52,94.2
2,Greg Zuerlein,NYJ,PK,16,35,38,92.1,55,0-0,8-8,9-10,13-14,5-6,15,16,93.8
3,Cairo Santos,CHI,PK,17,35,38,92.1,55,0-0,9-9,11-11,8-10,7-8,31,33,93.9
4,Jason Myers,SEA,PK,17,35,42,83.3,55,0-0,8-8,11-12,12-14,4-8,33,33,100.0
5,Dustin Hopkins,CLE,PK,15,33,36,91.7,58,0-0,8-8,7-7,10-13,8-8,24,26,92.3
6,Harrison Butker,KC,PK,17,33,35,94.3,60,0-0,8-8,13-15,7-7,5-5,38,38,100.0
7,Matt Gay,IND,PK,17,33,41,80.5,57,0-0,9-9,9-10,7-9,8-13,35,36,97.2
8,Justin Tucker,BAL,PK,17,32,37,86.5,50,0-0,10-10,10-10,11-12,1-5,51,52,98.1
9,Younghoe Koo,ATL,PK,17,32,37,86.5,54,0-0,10-10,10-10,9-11,3-6,27,28,96.4
10,Cameron Dicker,LAC,PK,17,31,33,93.9,55,0-0,7-7,8-8,9-9,7-9,35,35,100.0
11,Brandon McManus,JAX,PK,17,30,37,81.1,56,0-0,4-4,10-10,11-13,5-10,35,35,100.0
12,Wil Lutz,DEN,PK,17,30,34,88.2,52,0-0,11-11,12-13,4-5,3-5,29,31,93.5
13,Jake Elliott,PHI,PK,17,30,32,93.8,61,0-0,9-9,7-8,7-7,7-8,45,46,97.8
14,Blake Grupe,NO,PK,17,30,37,81.1,55,0-0,10-12,6-6,8-10,6-9,40,40,100.0
15,Nick Folk,TEN,PK,17,29,30,96.7,53,0-0,9-9,9-9,6-6,5-6,28,30,93.3
16,Chris Boswell,PIT,PK,17,29,31,93.5,57,0-0,9-9,7-7,7-8,6-7,27,28,96.4
17,Chase McLaughlin,TB,PK,17,29,31,93.5,57,0-0,8-8,12-12,2-3,7-8,33,33,100.0
18,Matt Prater,ARI,PK,17,28,33,84.8,62,0-0,6-6,7-8,6-7,9-12,22,23,95.7
19,Ka'imi Fairbairn,HOU,PK,12,27,28,96.4,54,0-0,10-10,10-10,2-2,5-6,21,22,95.5
20,Anders Carlson,GB,PK,17,27,33,81.8,53,0-0,6-6,14-14,4-8,3-5,34,39,87.2
