RK,Name,Team,POS,GP,PUNTS,YDS,LNG,AVG,NET,PBLK,IN20,TB,FC,ATT,YDS,AVG
1,Ryan Stonehouse,TEN,P,12,53,2812,74,53.1,43.9,1,28,10,7,22,243,11.0
2,Matt Haack,CLE,P,1,3,155,56,51.7,41.7,0,0,0,0,2,30,15.0
3,Bryan Anger,DAL,P,17,44,2262,63,51.4,44.9,0,17,2,13,24,247,10.3
4,Blake Gillikin,ARI,P,13,51,2580,77,50.6,43.6,0,11,2,9,29,318,11.0
5,AJ Cole,LV,P,17,75,3783,83,50.4,45.1,0,34,6,20,31,283,9.1
6,Jake Camarda,TB,P,17,77,3854,74,50.1,41.8,0,26,9,10,38,455,12.0
7,Michael Dickson,SEA,P,17,66,3303,73,50.0,44.1,0,25,8,12,34,232,6.8
8,Braden Mann,PHI,P,15,44,2190,63,49.8,43.9,0,15,1,5,27,237,8.8
9,Corey Bojorquez,CLE,P,16,87,4294,73,49.4,42.5,0,31,9,16,43,420,9.8
10,Ethan Evans,LAR,P,17,63,3101,72,49.2,38.5,1,20,7,12,32,495,15.5
11,Thomas Morstead,NYJ,P,17,99,4831,62,48.8,41.8,0,36,8,28,48,535,11.1
12,Ryan Wright,MIN,P,17,59,2873,68,48.7,41.9,0,16,7,16,27,260,9.6
13,Rigoberto Sanchez,IND,P,17,68,3281,69,48.3,42.3,1,21,0,13,38,360,9.5
14,Jordan Stout,BAL,P,17,66,3158,67,47.8,39.2,1,28,5,17,32,433,13.5
15,Mitch Wishnowsky,SF,P,17,52,2480,67,47.7,42.7,0,26,2,13,22,220,10.0
16,Cameron Johnston,HOU,P,13,66,3145,74,47.7,44.0,0,30,3,25,26,183,7.0
17,Logan Cooke,JAX,P,17,61,2893,65,47.4,43.8,0,29,4,22,22,143,6.5
18,Tommy Townsend,KC,P,17,59,2776,68,47.1,41.8,0,20,5,20,20,207,10.4
19,Bradley Pinion,ATL,P,17,75,3523,66,47.0,41.5,0,27,3,24,31,353,11.4
20,Bryce Baringer,NE,P,17,98,4598,79,46.9,40.8,0,38,8,24,44,439,10.0
21,Johnny Hekker,CAR,P,17,82,3838,69,46.8,43.0,0,25,5,26,31,210,6.8
22,Jack Fox,DET,P,17,57,2646,70,46.4,41.7,0,26,5,20,21,168,8.0
23,JK Scott,LAC,P,17,75,3475,83,46.3,42.3,0,30,4,31,28,221,7.9
24,Riley Dixon,DEN,P,17,79,3659,68,46.3,42.3,0,27,6,27,31,195,6.3
25,Daniel Whelan,GB,P,17,57,2634,68,46.2,39.7,0,18,5,22,23,270,11.7
26,Trenton Gill,CHI,P,17,67,3088,76,46.1,38.0,0,18,8,13,30,381,12.7
27,Tress Way,WSH,P,17,73,3361,66,46.0,40.7,2,30,2,25,34,271,8.0
28,Jamie Gillan,NYG,P,17,95,4372,74,46.0,42.3,0,35,4,36,39,270,6.9
29,Sam Martin,BUF,P,17,51,2334,70,45.8,39.9,0,24,3,17,19,237,12.5
30,Jake Bailey,MIA,P,17,53,2424,66,45.7,40.7,0,20,3,19,17,207,12.2
31,Nolan Cooney,ARI,P,4,13,592,56,45.5,40.3,0,2,1,3,7,48,6.9
32,Brad Wing,PIT,P,2,11,495,52,45.0,38.9,0,3,2,4,4,27,6.8
33,Ty Zentner,HOU/TEN,P,9,38,1705,64,44.9,40.4,0,10,4,16,9,91,10.1
34,Brad Robbins,CIN,P,17,76,3369,62,44.3,40.3,0,20,5,26,29,203,7.0
35,Pressley Harvin III,PIT,P,15,78,3419,63,43.8,39.2,0,30,6,26,25,242,9.7
36,Arryn Siposs,PHI,P,2,8,347,54,43.4,38.4,0,2,0,2,5,40,8.0
37,Lou Hedley,NO,P,17,75,3224,62,43.0,39.7,0,31,4,24,29,163,5.6
