RK,Name,Team,POS,GP,ATT,YDS,AVG,LNG,TD,ATT,YDS,AVG,LNG,TD,FC
1,Keisean Nixon,GB,CB,17,30,782,26.1,51,0,14,95,6.8,34,0,1
2,Xavier Gipson,NYJ,WR,17,22,511,23.2,34,0,33,319,9.7,65,1,30
3,Braxton Berrios,MIA,WR,16,18,441,24.5,33,0,23,235,10.2,19,0,24
4,DeeJay Dallas,SEA,RB,17,17,440,25.9,34,0,25,265,10.6,32,0,16
5,Velus Jones Jr.,CHI,WR,14,16,435,27.2,37,0,0,0,0.0,0,0,0
6,Raheem Blackshear,CAR,RB,12,16,430,26.9,52,0,0,0,0.0,0,0,0
7,Marvin Mims Jr.,DEN,WR,16,15,397,26.5,99,1,19,312,16.4,52,0,13
8,Jamal Agnew,JAX,WR,11,15,391,26.1,53,0,14,144,10.3,48,0,9
9,Rashid Shaheed,NO,WR,15,18,384,21.3,28,0,25,339,13.6,76,1,23
10,Kene Nwangwu,MIN,RB,9,15,380,25.3,47,0,0,0,0.0,0,0,0
11,Derius Davis,LAC,WR,17,17,374,22.0,46,0,24,385,16.0,87,1,29
12,Greg Dortch,ARI,WR,16,17,360,21.2,40,0,29,275,9.5,49,0,8
13,Antonio Gibson,WSH,RB,16,14,340,24.3,37,0,0,0,0.0,0,0,0
14,Deven Thompkins,TB,WR,17,16,327,20.4,32,0,25,234,9.4,51,0,18
15,KaVontae Turpin,DAL,WR,16,10,292,29.2,63,0,13,79,6.1,15,0,22
16,Trayveon Williams,CIN,RB,17,12,290,24.2,46,0,0,0,0.0,0,0,0
17,Godwin Igwebuike,ATL/PIT,RB,12,11,282,25.6,36,0,0,0,0.0,0,0,0
18,Tyjae Spears,TEN,RB,17,13,270,20.8,33,0,0,0,0.0,0,0,0
19,DeAndre Carter,LV,WR,17,11,262,23.8,40,0,24,232,9.7,32,0,18
20,Byron Pringle,WSH,WR,17,9,251,27.9,40,0,0,0,0.0,0,0,0
21,Khalil Dorsey,DET,CB,13,12,244,20.3,30,0,0,0,0.0,0,0,0
22,Ray-Ray McCloud III,SF,WR,12,10,225,22.5,34,0,24,203,8.5,19,0,9
23,Dameon Pierce,HOU,RB,14,7,225,32.1,98,1,0,0,0.0,0,0,0
24,Dee Eskridge,SEA,WR,4,8,224,28.0,66,0,0,0,0.0,0,0,0
25,Jalen Reagor,NE,WR,11,7,221,31.6,98,1,0,0,0.0,0,0,0
26,Ty Montgomery II,NE,WR,13,9,219,24.3,43,0,0,0,0.0,0,0,0
27,Pierre Strong Jr.,CLE,RB,17,8,200,25.0,36,0,0,0,0.0,0,0,0
28,Parris Campbell,NYG,WR,12,8,191,23.9,36,0,0,0,0.0,0,0,0
29,Richie James,KC,WR,9,9,187,20.8,31,0,20,200,10.0,27,0,8
30,Devin Duvernay,BAL,WR,13,9,174,19.3,28,0,23,290,12.6,70,0,20
31,Boston Scott,PHI,RB,15,8,170,21.3,38,0,0,0,0.0,0,0,0
32,Laviska Shenault Jr.,CAR,WR,8,6,167,27.8,37,0,0,0,0.0,0,0,0
33,Anthony McFarland Jr.,PIT,RB,3,6,164,27.3,37,0,0,0,0.0,0,0,0
34,Ty Johnson,BUF,RB,10,8,161,20.1,24,0,0,0,0.0,0,0,0
35,Deebo Samuel Sr.,SF,WR,15,6,154,25.7,34,0,0,0,0.0,0,0,0
36,Cordarrelle Patterson,ATL,RB,14,7,153,21.9,29,0,0,0,0.0,0,0,0
37,Isaiah McKenzie,IND,WR,13,6,152,25.3,42,0,23,204,8.9,32,0,16
38,Craig Reynolds,DET,RB,17,5,133,26.6,31,0,0,0,0.0,0,0,0
39,D'Ernest Johnson,JAX,RB,17,7,126,18.0,22,0,0,0,0.0,0,0,0
40,Justice Hill,BAL,RB,16,3,119,39.7,78,0,0,0,0.0,0,0,0
41,Desmond King II,PIT/HOU,CB,10,5,111,22.2,27,0,8,101,12.6,22,0,4
42,Tyler Scott,CHI,WR,17,5,108,21.6,33,0,0,0,0.0,0,0,0
43,Austin Trammell,LAR,WR,16,6,101,16.8,36,0,25,183,7.3,29,0,19
44,Tank Bigsby,JAX,RB,17,4,99,24.8,31,0,0,0,0.0,0,0,0
45,Khalil Shakir,BUF,WR,17,5,98,19.6,27,0,5,37,7.4,10,0,0
46,Ty Chandler,MIN,RB,17,4,97,24.3,33,0,0,0,0.0,0,0,0
47,Andrew Beck,HOU,FB,15,2,94,47.0,85,1,0,0,0.0,0,0,0
48,Devin Singletary,HOU,RB,17,4,90,22.5,35,0,0,0,0.0,0,0,0
49,Chris Moore,TEN,WR,17,4,89,22.3,26,0,0,0,0.0,0,0,0
50,Rico Dowdle,DAL,RB,16,6,86,14.3,31,0,0,0,0.0,0,0,0
51,Steven Sims,HOU,WR,3,3,71,23.7,29,0,4,49,12.3,18,0,4
52,Mike Boone,HOU,RB,9,4,66,16.5,25,0,0,0,0.0,0,0,0
53,Lynn Bowden Jr.,NO,WR,15,3,64,21.3,28,0,7,53,7.6,16,0,1
54,Eric Gray,NYG,RB,13,4,58,14.5,20,0,7,28,4.0,14,0,5
55,Parker Washington,JAX,WR,9,2,51,25.5,33,0,12,126,10.5,26,0,5
56,Mike Hughes,ATL,CB,15,3,46,15.3,19,0,11,67,6.1,16,0,10
57,Chris Evans,CIN,RB,8,2,45,22.5,27,0,0,0,0.0,0,0,0
58,Chase Brown,CIN,RB,12,2,44,22.0,27,0,0,0,0.0,0,0,0
59,Tank Dell,HOU,WR,11,2,44,22.0,23,0,11,100,9.1,20,0,6
60,Jaelon Darden,CLE,WR,1,2,42,21.0,23,0,4,39,9.8,11,0,1
61,Damien Harris,BUF,RB,6,1,41,41.0,41,0,0,0,0.0,0,0,0
62,Jordan Mason,SF,RB,17,2,40,20.0,28,0,0,0,0.0,0,0,0
63,D'Shawn Jamison,CAR,CB,15,2,40,20.0,22,0,0,0,0.0,0,0,0
64,Israel Abanikanda,NYJ,RB,6,2,31,15.5,19,0,0,0,0.0,0,0,0
65,Britain Covey,PHI,WR,16,1,30,30.0,30,0,29,417,14.4,54,0,18
66,Tylan Wallace,BAL,WR,11,1,26,26.0,26,0,6,127,21.2,76,1,6
67,Andy Isabella,BUF,WR,2,1,25,25.0,25,0,0,0,0.0,0,0,0
68,Gunner Olszewski,PIT/NYG,WR,12,2,24,12.0,24,0,24,281,11.7,94,1,8
69,Josh Downs,IND,WR,17,2,24,12.0,17,0,6,63,10.5,14,0,6
70,Andre Baccellia,ARI,WR,5,1,22,22.0,22,0,0,0,0.0,0,0,0
71,Mohamed Ibrahim,DET,RB,1,1,22,22.0,22,0,0,0,0.0,0,0,0
72,Zonovan Knight,DET,RB,2,1,22,22.0,22,0,0,0,0.0,0,0,0
73,Daniel Thomas,JAX,S,15,1,21,21.0,21,0,0,0,0.0,0,0,0
74,Jerick McKinnon,KC,RB,12,1,20,20.0,20,0,0,0,0.0,0,0,0
75,Demarcus Robinson,LAR,WR,16,1,20,20.0,20,0,0,0,0.0,0,0,0
76,Montrell Washington,KC,WR,6,1,20,20.0,20,0,8,61,7.6,23,0,4
77,Kevin Harris,NE,RB,4,1,20,20.0,20,0,0,0,0.0,0,0,0
78,James Proche II,CLE,WR,10,1,19,19.0,19,0,22,197,9.0,21,0,27
79,Kenneth Gainwell,PHI,RB,16,1,19,19.0,19,0,0,0,0.0,0,0,0
80,Dallis Flowers,IND,CB,4,1,19,19.0,19,0,0,0,0.0,0,0,0
81,Kyle Juszczyk,SF,FB,17,1,18,18.0,18,0,0,0,0.0,0,0,0
82,Taysom Hill,NO,QB,16,1,18,18.0,18,0,0,0,0.0,0,0,0
83,Devon Allen,PHI,WR,2,1,17,17.0,17,0,0,0,0.0,0,0,0
84,Leonard Fournette,BUF,RB,2,1,17,17.0,17,0,0,0,0.0,0,0,0
85,Joshua Kelley,LAC,RB,17,1,16,16.0,16,0,0,0,0.0,0,0,0
